package	slot	class	label	count	reccomended
soil	env_local_scale	ENVO:00002268	sphagnum bog	108.0	False
sediment	env_medium	ENVO:00002114	contaminated sediment	106.0	False
water	env_broad_scale	ENVO:01000306	freshwater environment	105.0	False
water	env_local_scale	ENVO:00002042	surface water	104.0	False
water	env_medium	ENVO:00002042	surface water	101.0	False
plant-associated	env_broad_scale	ENVO:01000211	temperate coniferous forest biome	99.0	False
plant-associated	env_local_scale	ENVO:01000433	needleleaf forest	99.0	False
soil	env_local_scale	ENVO:00002875	oil contaminated soil	98.0	False
water	env_local_scale	ENVO:00002297	environmental feature	98.0	False
water	env_broad_scale	ENVO:01001004	groundwater	97.0	False
water	env_local_scale	ENVO:01000326	deep chlorophyll maximum layer	97.0	False
soil	env_broad_scale	ENVO:01000024	marine benthic biome	96.0	False
soil	env_local_scale	ENVO:00000318	high tide zone	96.0	False
soil	env_broad_scale	ENVO:00000887	large river biome	95.0	False
soil	env_local_scale	ENVO:00000074	dam	95.0	False
water	env_local_scale	ENVO:00002186	contaminated water	95.0	False
soil	env_broad_scale	ENVO:01000211	temperate coniferous forest biome	94.0	False
water	env_broad_scale	ENVO:00002138	beach sand	92.0	False
water	env_medium	ENVO:01000017	sand	92.0	False
soil	env_broad_scale	PCO:1000004	microbial community	90.0	False
water	env_local_scale	ENVO:01000666	area of open water	90.0	False
sediment	env_local_scale	ENVO:00002007	sediment	89.0	False
water	env_local_scale	ENVO:00000277	dry lake	89.0	False
soil	env_local_scale	ENVO:03000116	snowpack	88.0	False
sediment	env_local_scale	ENVO:00000469	research facility	86.0	False
sediment	env_medium	ENVO:00002209	saline lake sediment	86.0	False
plant-associated	env_local_scale	ENVO:00000260	prairie	85.0	False
soil	env_local_scale	ENVO:01000910	soil biocrust	84.0	False
