3	14.941
21	3.10438494373302
7	0.0141
1	1.46
4	0.29 mg/l
1	-0.024
1	1,11
1	0.945347032
1	2.063239
1	0.6 micro molar
6	0.23
3	0.71 micro molar
1	5.8 mg/L
1	12.328
1	1.85360274632 umol/kg
1	1.41
1	0.133215 uM
62	3.7 g NH4-N L-1
2	3.32 uM
1	257.43
4	0.76 micro molar
8	0.01 mg/l
1	0,194
2	0.107 µM
5	3.4
6	1.02
2	0.999071
1	13.6553
1	22.9mg/kg
2	23.304
3	14.009
1	0.66 mg/L
3	43
1	0.679904762
1	0.7827806
2	3.8 mM
1	0,528
2	0.263 uM
3	65.8 mg/L
1	5.4
88	150 mM
1	3.195449755
2	21.87
1	0.2227
1	1.873632654
1	0.73110241
2	0.2675
2	2.97
3	37.7 mg/L
3	1.7
7	0.14 uM
1	0.65 mg/L
2	1260
5	0.24
2	0.41 mg/l
2	0.001
47	11.1203503520151
3	1.08
1	0.15
1	0.21575 uM
1	0.807
2	3.398
2	3.96
1	10.332
14	2.4
1	695
1	276
7	0.12 mg/l
1	0.40108535 mg/L
1	1.522
1	5.51 micro molar
1	0.464
1	2.55
1	72.05822514
2	26.3
12	2.3
5	0.63
1	1.8 ppm
1	2.5 uM
2	0.005 mg/L
2	24.31
21	13.1382005654415
1	0.2064 uM
3	15.26
3	0.82
4	0.009 mg/L
1	4.8
1	0.085340797 mg/L
2	1091
1	0.04 micro molar
7	0.12
1	0,45
3	0.53
2	4.908
1	119
2	0.18
1	-0.038
55	0.410222296136149
5	0.36 mg/L
8	0.47 micro molar
15	2.8
6	0.08 microMolePerLiter
5	0,01
2	0.93 mg/l
1	1.43
5	0.2 micro molar
5	0.04 mg/L
1	3.207
2	26
1	95
3	0.655
1	350 mg/L
1	47.89 uM
2	0.08 micro molar
2	3 µg/L
2	64.265
1	0.66
1	0.857923205
7	0.38 micro molar
2	0,33
20	24.613337768169
6	0.58
1	90.8 mM
3	8.305
39	2.22850490603692
3	4.0228
1	3.87
4	0.59 micro molar
25	18.7371805532457
2	0.135 µM
1	0.315045 uM
3	0.295
1	0.070683466479394 umol/kg
1	0.2146
2	8.9 mM
6	25
1	80 mg/L
1	1.913246055
1	1.181
1	23.2
3	0.186
3	1 uM
1	1.05
1	12.4436
1	24.2
1	1,01
2	0.007 mg/L
1	0.1 mg/L
5	4.9
8	0.51
13	22.1741781695216
2	0.028
1	0.478386598
2	68.3
1	40
1	4.75 uM
1	1.391990443
18	27.717722711902
4	8.3
2	814
2	12.987
74	1.9 g NH4-N L-1
1	0.1697 uM
2	0.65 micro molar
1	0.56 mg/L
26	33.933033981928
1	3.59 uM
1	0.2607
2	2.37 uM
2	0.910439197711112
1	0,18
23	2.80503353844448
1	9.9383
2	1.0
2	4.48 uM
2	319
1	0.1841
4	0.95
6	unknown
6	0.015
8	&lt;11.2 uM
1	6.20
2	2.66283117267702
1	0.6140485
1	5.07
2	1.74725
1	11.13
13	0.8
1	12.0 ppm
1	379
1	0.520700662143331 umol/kg
3	0.74
1	4.16
2	65.1
1	607
1	9.7 mg/L
2	0.17
3	0.4190 uM
1	1.6872953
1	2.76
1	4.07 uM
3	12.893
1	2.166667
3	90 mg/L
1	0.594916667
2	6.987
30	21.3426464881645
4	0.27 mg/l
1	11.3
2	1.38
2	9.946
23	25.3894340041022
1	12.8 ppm
2	190 micromolar
5	42
3	10.6 ppm
39	9.97838017628472
1	0.6745
2	1787.9
2	0.64375
1	0,266
1	0.4892
2	25.806
2	0.27075
2	650 micromolar
1	0.392645
2	20.678
3	0.3352 uM
1	-0.152
1	0.2841
1	2.1
1	41
2	1.02 micro molar
1	0.395715544 mg/L
1	11.9467
35	4.1576584067853
3	7.444
1	9.4168
1	2.965
2	14.354
11	1
85	70.4030156882311
1	330 ppm
2	43.1
3	0.01 mg/L
1	429.02
1	0.363 uM
1	6.654
1	12.2
3	0.71
1	0.212
2	0,65
1	0.42 mg/L
1	3.64
2	2.86
1	0.061
8	0.16 micro molar
1	3.17
2	0.03 micro molar
1	41.07 mg/L
4	4.92 mg/L
4	0.185
2	1.72696042722913
1	3.25
2	70 mg/L
1	0.396611111
2	11.767
1	0.6285 uM
2	2.760403
8	0.85
2	0.688968851141654
1	26.13520363
1	0.383 mg/L
1	24
1	0.839
