743	42.282026 N 83.733850 W
739	33.95 S 18.46 E
738	34.9 S 138.6 E
737	39.542 N 140.723 E
737	61.00 N 25.65 E
736	42.3362036 N 71.1089295 W
736	59.33 N 18.07 E
734	50.926767 N 6.936018 E
730	29.7106 N 95.3957 W
727	36.194587 N 85.538947 W
726	53.003386 N 111.519519 W
724	35.026 N 135.786 E
722	40.4397 N 79.9764 W
718	30.427 N 130.493 E
716	38.547 N 121.878 W
716	39.9 N 116.3 E
714	30.60 N 96.31 W
712	40.1097 N 88.2042 W
711	42.3629 N 71.0890 W
704	24.407 N 123.799 E
702	39.95 N 75.16 W
700	48.6667 N 2.4833 E
700	48.48 N 2.08 E
700	47.26 N 8.40 E
699	37.0902 N 95.7129 W
697	36.554 N 138.351 E
694	3.6333 S 39.8500 E
693	45.042 N 142.022 E
691	39.92 N 116.46 E
690	1.294310 N 103.777674 E
690	32.24 N 34.52 E
687	63 N 17 E
686	26.69 N 127.88 E
685	36.84 N 101.95 E
684	49.92951 N 11.583492 E
679	31.22 N 121.53 E
672	34.18 N 97.08 W
671	29.6516 N 82.3248 W
670	42.0853 N 86.3588 W
670	53.49 N 113.54 W
670	26.742 N 128.234 E
664	59.09 N 17.56 E
663	not availalble
661	41.31 N 72.93 W
660	19.49 S 132.55 E
660	29.6382 N 82.3517 W
658	17.5388 S 149.8295 W
655	40.49 N 74.45 W
653	10.2750 N 84.8255 W
652	32.81 N 129.77 E
652	44.57 N 123.29 W
650	34.0672 N 118.4440 W
648	42.013 N 93.743 W
647	42.37 N 71.08 W
647	30.2880 N 97.7364 W
641	43.527743 N 1.501404 E
640	41.897382 N 12.460856 E
638	31.38 N 121.32 E
634	38.95 N 92.33 W
632	52.3574 N 108.8400 W
631	59.5505 N 17.2049 E
631	31.12 N 121.38 E
627	29.35 N 106.33 E
626	15.16 S 13.35 W
621	47.24 N 5.09 E
619	36.898979 S 174.538467 E
619	30.6280 N 96.3344 W
619	36.12 N 97.06 W
616	22.45 N 158.00 W
616	22.592 N 113.975 E
615	36.1397 N 86.8016 W
613	29.62 N 106.38 E
613	43.1566 N 77.6088 W
611	41.74 N 77.29 W
606	42.677 N 141.623 E
604	55.3781 N 3.4360 W
