scoping_value	biosample_col_to_map	consensus_id	consensus_lab	count
water	env_local_scale	ENVO:01000105	marine benthic feature	31
water	env_local_scale	ENVO:00000447	marine biome	2
water	env_local_scale	ENVO:01000130	marine hydrothermal plume	6
water	env_local_scale	ENVO:01000122	marine hydrothermal vent	14
water	env_local_scale	ENVO:00000213	marine mesopelagic zone	119
water	env_local_scale	ENVO:01000065	marine oxygen minimum zone	38
water	env_local_scale	ENVO:01000044	marine pelagic feature	321
water	env_local_scale	ENVO:00000208	marine pelagic zone	53
water	env_local_scale	ENVO:00000209	marine photic zone	72
water	env_local_scale	ENVO:00001999	marine water body	170
water	env_local_scale	ENVO:00000035	marsh	6
water	env_local_scale	ENVO:01000207	mediterranean	1
water	env_local_scale	ENVO:03000040	melt pond	9
water	env_local_scale	ENVO:00000018	obsolete dry river	1
water	env_local_scale	ENVO:00002002	obsolete food product	1
water	env_local_scale	ENVO:01000031	obsolete marine feature	69
water	env_local_scale	ENVO:00000569	obsolete marine habitat	4
water	env_local_scale	ENVO:00002151	obsolete ocean water	2
water	env_local_scale	ENVO:00000015	ocean	294
water	env_local_scale	ENVO:01000037	oceanic bathypelagic zone biome	25
water	env_local_scale	ENVO:01000035	oceanic epipelagic zone biome	8
water	env_local_scale	ENVO:01000074	oceanic gyre	294
water	env_local_scale	ENVO:01000036	oceanic mesopelagic zone biome	47
water	env_local_scale	ENVO:00000207	oceanic zone	137
water	env_local_scale	ENVO:00002185	oil reservoir	7
water	env_local_scale	ENVO:00002061	oil spill	37
water	env_local_scale	ENVO:00002223	oligotrophic water	15
water	env_local_scale	ENVO:01000159	organic feature	12
water	env_local_scale	ENVO:01000007	organic object formed through microbial activity	703
water	env_local_scale	ENVO:00000489	palsa	4
water	env_local_scale	ENVO:01000080	pelagic isothermal surface	4
water	env_local_scale	ENVO:06105101	plastic	54
water	env_local_scale	ENVO:00000033	pond	49
water	env_local_scale	SO:0002237	rRNA_16S_gene	17
water	env_local_scale	ENVO:00000469	research facility	71
water	env_local_scale	ENVO:00003919	research station	48
water	env_local_scale	ENVO:00000025	reservoir	1
water	env_local_scale	ENVO:00000022	river	151
water	env_local_scale	ENVO:00000130	rocky reef	18
water	env_local_scale	ENVO:00000055	saline evaporation pond	1
water	env_local_scale	ENVO:00000017	saline hydrographic feature	1
water	env_local_scale	ENVO:00000019	saline lake	184
water	env_local_scale	ENVO:00000054	saline marsh	189
water	env_local_scale	ENVO:00002010	saline water	2
water	env_local_scale	ENVO:00000016	sea	11
water	env_local_scale	ENVO:00000092	sea beach	29
water	env_local_scale	ENVO:01000059	sea grass bed	3
water	env_local_scale	ENVO:00002200	sea ice	2
water	env_local_scale	ENVO:03000066	sea ice floe	21
water	env_local_scale	ENVO:00002149	sea water	743
water	env_local_scale	ENVO:01000321	sea water environment	2
water	env_local_scale	ENVO:00000304	shore	18
water	env_local_scale	ENVO:00000195	sinkhole	15
water	env_local_scale	ENVO:00000023	stream	311
water	env_local_scale	ENVO:01000205	subtropical	1
water	env_local_scale	ENVO:03000035	supraglacial lake	2
water	env_local_scale	ENVO:00002042	surface water	104
water	env_local_scale	ENVO:00000495	tributary	6
water	env_local_scale	ENVO:00000112	tundra	75
water	env_local_scale	ENVO:00002926	warm seep	1
water	env_local_scale	ENVO:00002001	waste water	1
water	env_local_scale	CHEBI:15377	water	52
water	env_local_scale	ENVO:06105011	water column	27
water	env_local_scale	ENVO:01001191	water surface	3
water	env_local_scale	ENVO:01000002	water well	5
water	env_local_scale	ENVO:00000029	watercourse	2
water	env_local_scale	ENVO:01001209	wetland ecosystem	23
water	env_medium	ENVO:01001189	algal material	50
water	env_medium	ENVO:02000047	animal feed	1
water	env_medium	ENVO:01000173	anoxic water	3
water	env_medium	ENVO:00002034	biofilm	7
water	env_medium	ENVO:01000156	biofilm material	60
water	env_medium	ENVO:00002152	biofilter	1
water	env_medium	ENVO:00002019	brackish water	153
water	env_medium	ENVO:00003044	brine	1
water	env_medium	ENVO:01001190	brown sea ice	2
water	env_medium	ENVO:00002150	coastal sea water	722
water	env_medium	ENVO:00002150|ENVO:00002149	coastal sea water|sea water	7
water	env_medium	ENVO:00002153	compost biofilter	1
water	env_medium	ENVO:01000326	deep chlorophyll maximum layer	2
water	env_medium	ENVO:00002113	deep marine sediment	33
water	env_medium	ENVO:00003064	drinking water	3
water	env_medium	ENVO:01000301	estuarine water	271
water	env_medium	ENVO:00002224	eutrophic water	1
water	env_medium	FOODON:00001248	fish food product	2
water	env_medium	ENVO:00002011	fresh water	6034
water	env_medium	ENVO:00000021	freshwater lake	1
water	env_medium	ENVO:01000480	glass	8
water	env_medium	ENVO:01001004	groundwater	10
water	env_medium	ENVO:00002012	hypersaline water	63
water	env_medium	ENVO:01001125	ice	3
water	env_medium	ENVO:00000020	lake	1
water	env_medium	PO:0025034	leaf	6
water	env_medium	ENVO:01000815	liquid environmental material	5
water	env_medium	ENVO:00001999	marine water body	6
water	env_medium	ENVO:03000040	melt pond	2
water	env_medium	ENVO:00002225	mesotrophic water	3
water	env_medium	ENVO:01000008	microbial mat	2
water	env_medium	ENVO:01001038	moderately saline water	1
water	env_medium	ENVO:00000569	obsolete marine habitat	1
water	env_medium	ENVO:00002151	obsolete ocean water	174
water	env_medium	ENVO:00002227	obsolete saline water habitat	1
water	env_medium	ENVO:00002223	oligotrophic water	7
water	env_medium	ENVO:00002223|ENVO:00002149	oligotrophic water|sea water	34
water	env_medium	ENVO:01000063	planktonic material	78
water	env_medium	ENVO:06105101	plastic	9
water	env_medium	ENVO:00002014	plutonic rock	2
water	env_medium	FOODON:03500021	polypropylene	4
water	env_medium	ENVO:00002228	pond water	25
water	env_medium	ENVO:00002154	radioactive sediment	1
water	env_medium	ENVO:01000599	river water	3
water	env_medium	ENVO:01001257	saline shrimp pond water	69
water	env_medium	ENVO:00002010	saline water	143
water	env_medium	ENVO:01000017	sand	92
water	env_medium	ENVO:00002200	sea ice	59
water	env_medium	ENVO:00002149	sea water	4942
water	env_medium	ENVO:00002007	sediment	188
water	env_medium	ENVO:01001192	sediment surface	6
water	env_medium	ENVO:01000406	snow	8
water	env_medium	ENVO:00005791	sterile water	12
water	env_medium	ENVO:03000035	supraglacial lake	2
water	env_medium	ENVO:00002042	surface water	101
water	env_medium	ENVO:01000514	tile	9
water	env_medium	ENVO:00005792	underground water	220
water	env_medium	ENVO:00002001	waste water	3
water	env_medium	CHEBI:15377	water	4301
water	env_medium	ENVO:06105011	water column	40
water	env_medium	ENVO:01000277	water ice	5
water	env_medium	ENVO:01000436	waterborne particulate matter	13
