accession	harmonized_name	count
SAMN00024333	molecular_data_type	2
SAMN00024335	molecular_data_type	2
SAMN00024336	molecular_data_type	2
SAMN00024337	molecular_data_type	2
SAMN00024338	molecular_data_type	2
SAMN00024339	molecular_data_type	2
SAMN00024340	molecular_data_type	2
SAMN00024341	molecular_data_type	2
SAMN00024342	molecular_data_type	2
SAMN00024343	molecular_data_type	2
SAMN00024344	molecular_data_type	2
SAMN00024345	molecular_data_type	2
SAMN00024346	molecular_data_type	2
SAMN00024347	molecular_data_type	2
SAMN00024348	molecular_data_type	2
SAMN00024349	molecular_data_type	2
SAMN00024350	molecular_data_type	2
SAMN00024351	molecular_data_type	2
SAMN00024353	molecular_data_type	2
SAMN00024354	molecular_data_type	2
SAMN00024355	molecular_data_type	2
SAMN00024356	molecular_data_type	2
SAMN00024357	molecular_data_type	2
SAMN00024358	molecular_data_type	2
SAMN00024359	molecular_data_type	2
SAMN00024360	molecular_data_type	2
SAMN00024361	molecular_data_type	2
SAMN00024362	molecular_data_type	2
SAMN00024363	molecular_data_type	2
SAMN00024365	molecular_data_type	2
SAMN00024366	molecular_data_type	2
SAMN00024367	molecular_data_type	2
SAMN00024368	molecular_data_type	2
SAMN00024369	molecular_data_type	2
SAMN00024370	molecular_data_type	2
SAMN00024371	molecular_data_type	2
SAMN00024372	molecular_data_type	2
SAMN00024373	molecular_data_type	2
SAMN00024374	molecular_data_type	2
SAMN00024375	molecular_data_type	2
SAMN00024376	molecular_data_type	2
SAMN00024377	molecular_data_type	2
SAMN00024378	molecular_data_type	2
SAMN00024379	molecular_data_type	2
SAMN00024381	molecular_data_type	2
SAMN00024382	molecular_data_type	2
SAMN00024383	molecular_data_type	2
SAMN00024384	molecular_data_type	2
SAMN00024385	molecular_data_type	2
SAMN00024386	molecular_data_type	2
SAMN00024388	molecular_data_type	2
SAMN00024389	molecular_data_type	2
SAMN00024390	molecular_data_type	2
SAMN00024391	molecular_data_type	2
SAMN00024392	molecular_data_type	2
SAMN00024393	molecular_data_type	2
SAMN00024394	molecular_data_type	2
