env_package	env_broad_scale	env_broad_scale_label	env_local_scale	env_local_scale_label	env_medium	env_medium_label	count(1)
soil	ENVO:00005774	peat soil	ENVO:00001998	soil	ENVO:00005774	peat soil	8
soil	ENVO:01000209	subtropical coniferous forest biome					8
soil	ENVO:01000249	urban biome	ENVO:01000352	field	ENVO:00001998	soil	8
soil	ENVO:01001805	temperate forest	ENVO:01001206	grassland ecosystem			8
plant-associated	ENVO:00000446	terrestrial biome	ENVO:00005801	rhizosphere	ENVO:00001998	soil	7
plant-associated	ENVO:01000320	marine environment	ENVO:01000159	organic feature	ENVO:00002034	biofilm	7
sediment	ENVO:01000024	marine benthic biome	ENVO:00000426	ocean floor	ENVO:03000033	marine sediment	7
sediment	ENVO:01000024	marine benthic biome	ENVO:00005795	marine mud	ENVO:00002113	deep marine sediment	7
sediment	ENVO:01000044	marine pelagic feature	ENVO:01000007	organic object formed through microbial activity	ENVO:00002113	deep marine sediment	7
soil			ENVO:00001998	soil	ENVO:00005774	peat soil	7
soil	ENVO:00001998	soil	ENVO:00000078	farm	ENVO:00001998	soil	7
soil	ENVO:01000179	desert biome			ENVO:00001998	soil	7
soil	ENVO:01000221	temperate woodland biome	ENVO:01000816	area of deciduous forest	ENVO:02000059	surface soil	7
soil	ENVO:01000433	needleleaf forest	CHEBI:46662	mineral	ENVO:00001998	soil	7
soil	ENVO:01001206	grassland ecosystem	ENVO:00001998	soil	ENVO:00001998	soil	7
plant-associated	ENVO:01000221	temperate woodland biome					6
plant-associated	ENVO:01000221	temperate woodland biome			CHEBI:15377	water	6
sediment					ENVO:00002982	clay	6
sediment	ENVO:00000892	small lake biome	ENVO:00000020	lake	ENVO:00002007	sediment	6
sediment	ENVO:01000020	estuarine biome	ENVO:00000035	marsh			6
sediment	ENVO:01000020	estuarine biome	ENVO:00000091	beach			6
sediment	ENVO:01001192	sediment surface			ENVO:00002007	sediment	6
soil	ENVO:00000266	pasture			ENVO:00001998	soil	6
soil	ENVO:00000446	terrestrial biome	ENVO:01000437	lava field	ENVO:00002232	andosol	6
soil	ENVO:00001998	soil	FOODON:03530253	organic plant cultivation	ENVO:00001998	soil	6
soil	ENVO:01000177	grassland biome					6
soil	ENVO:01000339	polar biome	ENVO:02000059	surface soil	ENVO:00001998	soil	6
soil	ENVO:01000628	plant litter	ENVO:00005742	arable soil			6
soil	NCBITaxon:1767996	Deyeuxia arundinacea	ENVO:00000081	mountain	ENVO:00001998	soil	6
soil	NCBITaxon:457792	Clypeola jonthlaspi			ENVO:00001998	soil	6
plant-associated					PO:0025034	leaf	5
sediment	ENVO:00002007	sediment			ENVO:00002007	sediment	5
sediment	ENVO:00002011	fresh water	ENVO:00000045	estuary	ENVO:00002007	sediment	5
soil	ENVO:00000446	terrestrial biome	ENVO:01000816	area of deciduous forest	ENVO:02000059	surface soil	5
soil	ENVO:00001998	soil	AGRO:00000301	agricultural experimental plot			5
soil	ENVO:00001998	soil	ENVO:00005801	rhizosphere	NCBITaxon:2	Bacteria	5
soil	ENVO:00003009	obsolete Subtropical Division (230)	ENVO:00005755	field soil	ENVO:00002259	agricultural soil	5
soil	ENVO:01000221	temperate woodland biome	ENVO:01000855	area of mixed forest	ENVO:02000059	surface soil	5
soil	ENVO:01001206	grassland ecosystem	ENVO:00000171	river valley	ENVO:00001998	soil	5
plant-associated	ENVO:01001811	temperate grassland			ENVO:00001998	soil	4
plant-associated	ENVO:01001811	temperate grassland			ENVO:00002005	air	4
sediment					ENVO:00001998	soil	4
sediment	ENVO:00000112	tundra	ENVO:00000020	lake	ENVO:00002007	sediment	4
sediment	ENVO:00000881	obsolete Tropical and subtropical grasslands, savannas, and shrubland biome	ENVO:00002022	obsolete alkaline habitat	ENVO:00003044	brine	4
sediment	ENVO:00000892	small lake biome	ENVO:00000021	freshwater lake	ENVO:00000546	lake sediment	4
sediment	ENVO:01000215	temperate shrubland biome	ENVO:00000067	cave	UBERON:0001988	feces	4
sediment	ENVO:01000221	temperate woodland biome	ENVO:00000109	woodland	ENVO:00001998	soil	4
soil			ENVO:00000133	glacier			4
soil			ENVO:01001206	grassland ecosystem			4
soil	ENVO:00000291	drainage basin			ENVO:00001998	soil	4
soil	ENVO:00000296	rice field			ENVO:00001998	soil	4
soil	ENVO:00000446	terrestrial biome	ENVO:00002031	anthropogenic habitat	ENVO:00002875	oil contaminated soil	4
soil	ENVO:00001998	soil	ENVO:00000233	swamp ecosystem	ENVO:00001998	soil	4
soil	ENVO:01000174	forest biome	ENVO:01000250	subpolar coniferous forest biome	ENVO:00001998	soil	4
soil	ENVO:01000192	tropical grassland biome	ENVO:00005750	grassland soil	ENVO:00001998	soil	4
soil	ENVO:01000193	temperate grassland biome	ENVO:00000291	drainage basin	ENVO:00001998	soil	4
soil	ENVO:01000200	tropical broadleaf forest biome	ENVO:00002261	forest soil	ENVO:00001998	soil	4
soil	ENVO:01000211	temperate coniferous forest biome	ENVO:00002257	podzol	ENVO:00001998	soil	4
soil	ENVO:01000221	temperate woodland biome	ENVO:01000843	area of evergreen forest	ENVO:02000059	surface soil	4
soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01001209	wetland ecosystem	ENVO:00002007	sediment	4
soil	ENVO:01000389	temperate mixed broadleaf forest	ENVO:00000297	paddy field	ENVO:00001998	soil	4
soil	ENVO:01000389	temperate mixed broadleaf forest	ENVO:00002261	forest soil	ENVO:00001998	soil	4
plant-associated					ENVO:00001998	soil	3
plant-associated	AGRO:00000363	greenhouse	AGRO:00000363	greenhouse	PO:0025034	leaf	3
plant-associated	ENVO:00000117	plantation	ENVO:01000352	field	ENVO:01000164	root nodule	3
plant-associated	ENVO:00000447	marine biome			ENVO:01000059	sea grass bed	3
plant-associated	ENVO:00000469	research facility			ENVO:02000047	animal feed	3
plant-associated	ENVO:01000249	urban biome	AGRO:00000363	greenhouse			3
sediment			ENVO:00000241	tidal mudflat	ENVO:00002007	sediment	3
sediment			MICRO:0000504	obligately anaerobic	ENVO:00002007	sediment	3
sediment	ENVO:00000054	saline marsh	ENVO:00000054	saline marsh	ENVO:00002007	sediment	3
sediment	ENVO:00000447	marine biome			ENVO:00002209	saline lake sediment	3
