CUI-less	N/A	UO:1000106	hertz based unit	hertz based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010029	quart based unit	quart based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010025	acre based unit	acre based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010026	fluid ounce based unit	fluid ounce based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010027	gill based unit	gill based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010028	pint based unit	pint based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000266	electronvolt based unit	electronvolt based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000264	siemens based unit	siemens based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000265	watt per meter kelvin based unit	watt per meter kelvin based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000021	gram based unit	gram based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000260	effective dose unit based unit	effective dose unit based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000140	Roentgen equivalent man based unit	Roentgen equivalent man based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000019	angstrom based unit	angstrom based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000257	pascal second based unit	pascal second based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000136	roentgen based unit	roentgen based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000137	sievert based unit	sievert based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000258	poise based unit	poise based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010032	drachm based unit	drachm based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010033	ounce based unit	ounce based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010034	pound based unit	pound based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010035	stone based unit	stone based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010030	gallon based unit	gallon based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010031	grain based unit	grain based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010036	quarter based unit	quarter based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010037	hundredweight based unit	hundredweight based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010038	ton based unit	ton based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010039	slug based unit	slug based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000255	dyne per cm based unit	dyne per cm based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000134	gray based unit	gray based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000013	mole based unit	mole based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000135	rad based unit	rad based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000014	candela based unit	candela based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000011	ampere based unit	ampere based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000132	becquerel based unit	becquerel based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000012	kelvin based unit	kelvin based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000133	curie based unit	curie based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000254	newton per meter based unit	newton per meter based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000010	second based unit	second based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000008	meter based unit	meter based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000246	mebibyte based unit	mebibyte based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000125	steradian based unit	steradian based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010040	teaspoon based unit	teaspoon based unit	biolink:OntologyClass
CUI-less	N/A	UO:0010035	stone	stone	biolink:OntologyClass
CUI-less	N/A	UO:0010036	quarter	quarter	biolink:OntologyClass
CUI-less	N/A	UO:0010033	ounce	ounce	biolink:OntologyClass
CUI-less	N/A	UO:0010034	pound	pound	biolink:OntologyClass
CUI-less	N/A	UO:0010031	grain	grain	biolink:OntologyClass
CUI-less	N/A	UO:0010032	drachm	drachm	biolink:OntologyClass
CUI-less	N/A	UO:0010030	gallon	gallon	biolink:OntologyClass
CUI-less	N/A	UO:1000201	cells per milliliter based unit	cells per milliliter based unit	biolink:OntologyClass
CUI-less	N/A	UO:0000230	kilovolt-hour	kilovolt-hour	biolink:OntologyClass
CUI-less	N/A	UO:0000110	pascal	pascal	biolink:OntologyClass
CUI-less	N/A	UO:0000231	information unit	information unit	biolink:OntologyClass
CUI-less	N/A	UO:0000111	energy unit	energy unit	biolink:OntologyClass
CUI-less	N/A	UO:0000232	bit	bit	biolink:OntologyClass
CUI-less	N/A	UO:0000233	byte	byte	biolink:OntologyClass
CUI-less	N/A	UO:0000112	joule	joule	biolink:OntologyClass
CUI-less	N/A	UO:0000234	kilobyte	kilobyte	biolink:OntologyClass
CUI-less	N/A	UO:0000113	power unit	power unit	biolink:OntologyClass
CUI-less	N/A	UO:0000114	watt	watt	biolink:OntologyClass
CUI-less	N/A	UO:0000235	megabyte	megabyte	biolink:OntologyClass
CUI-less	N/A	UO:0000104	femtoliter	femtoliter	biolink:OntologyClass
CUI-less	N/A	UO:0000225	magnetic flux unit	magnetic flux unit	biolink:OntologyClass
CUI-less	N/A	UO:0000226	weber	weber	biolink:OntologyClass
CUI-less	N/A	UO:0000105	frequency unit	frequency unit	biolink:OntologyClass
CUI-less	N/A	UO:0000227	magnetic flux density unit	magnetic flux density unit	biolink:OntologyClass
CUI-less	N/A	UO:0000106	hertz	hertz	biolink:OntologyClass
CUI-less	N/A	UO:0000228	tesla	tesla	biolink:OntologyClass
CUI-less	N/A	UO:0000107	force unit	force unit	biolink:OntologyClass
CUI-less	N/A	UO:1000314	relative fluorescence unit based unit	relative fluorescence unit based unit	biolink:OntologyClass
CUI-less	N/A	UO:0000229	volt-hour	volt-hour	biolink:OntologyClass
CUI-less	N/A	UO:0000108	newton	newton	biolink:OntologyClass
CUI-less	N/A	UO:0000109	pressure unit	pressure unit	biolink:OntologyClass
CUI-less	N/A	UO:1000312	relative light unit based unit	relative light unit based unit	biolink:OntologyClass
CUI-less	N/A	UO:1000313	relative luminescence unit based unit	relative luminescence unit based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010010	hectare based unit	hectare based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010011	inch based unit	inch based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010012	thou based unit	thou based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010013	foot based unit	foot based unit	biolink:OntologyClass
CUI-less	N/A	UO:0010028	pint	pint	biolink:OntologyClass
CUI-less	N/A	UO:0010029	quart	quart	biolink:OntologyClass
CUI-less	N/A	UO:0010026	fluid ounce	fluid ounce	biolink:OntologyClass
CUI-less	N/A	UO:0010027	gill	gill	biolink:OntologyClass
CUI-less	N/A	UO:0010046	united states customary cup	united states customary cup	biolink:OntologyClass
CUI-less	N/A	UO:1010018	league based unit	league based unit	biolink:OntologyClass
CUI-less	N/A	UO:1010019	maritime length unit based unit	maritime length unit based unit	biolink:OntologyClass
CUI-less	N/A	UO:0010047	united states fda cup	united states fda cup	biolink:OntologyClass
CUI-less	N/A	UO:0010044	united states customary tablespoon	united states customary tablespoon	biolink:OntologyClass
CUI-less	N/A	UO:0010045	metric cup	metric cup	biolink:OntologyClass
CUI-less	N/A	UO:1010014	yard based unit	yard based unit	biolink:OntologyClass
CUI-less	N/A	UO:0010042	tablespoon	tablespoon	biolink:OntologyClass
CUI-less	N/A	UO:1010015	chain based unit	chain based unit	biolink:OntologyClass
CUI-less	N/A	UO:0010043	australian metric tablespoon	australian metric tablespoon	biolink:OntologyClass
CUI-less	N/A	UO:1010016	furlong based unit	furlong based unit	biolink:OntologyClass
CUI-less	N/A	UO:0010040	teaspoon	teaspoon	biolink:OntologyClass
CUI-less	N/A	UO:1010017	mile based unit	mile based unit	biolink:OntologyClass
CUI-less	N/A	UO:0010041	united states customary teaspoon	united states customary teaspoon	biolink:OntologyClass
CUI-less	N/A	UO:1000310	dosage unit based unit	dosage unit based unit	biolink:OntologyClass
CUI-less	N/A	UO:0000240	dots per inch	dots per inch	biolink:OntologyClass
CUI-less	N/A	UO:0000241	micron pixel	micron pixel	biolink:OntologyClass
CUI-less	N/A	UO:0000120	katal	katal	biolink:OntologyClass
